No.,storeNumber,countryCode,ownershipTypeCode,latitude,longitude,address,city,countrySubdivisionCode,postalCode,windowsTimeZoneId,GMT,GMT_region,Mon_open,Mon_close,Tue_open,Tue_close,Wed_open,Wed_close,Thu_open,Thu_close,Fri_open,Fri_close,Sat_open,Sat_close,Sun_open,Sun_close
14414,75430-103330,US,LS,40.061828,-77.522115,"1871 Old Main Drive, Ezra Lehman Memoria",shippensburg,PA,172572200,Eastern Standard Time,GMT-05:00,America/New_York,07:15,21:30,07:15,21:30,07:15,21:30,07:15,21:30,07:15,18:00,09:00,17:00,12:00,21:30
14415,58837-292006,US,CO,40.05863,-77.499893,40 Shippensburg Shopping Center|suite 35,shippensburg,PA,172579054,Eastern Standard Time,GMT-05:00,America/New_York,06:30,19:00,06:30,19:00,06:30,16:00,06:30,19:00,06:30,19:00,06:30,19:00,06:30,16:00
14416,73297-21766,US,LS,35.645833,-105.95512,3001 S St Francis Drive,santa fe,NM,875056964,Mountain Standard Time,GMT-07:00,America/Denver,07:00,20:30,07:00,20:30,07:00,20:30,07:00,20:30,07:00,20:30,07:00,20:30,07:00,20:30
14417,4138-141304,US,LS,35.657376,-105.959717,2110 S Pacheco St,santa fe,NM,87505,Mountain Standard Time,GMT-07:00,America/Denver,06:00,21:00,06:00,21:00,06:00,21:00,06:00,21:00,06:00,21:00,06:00,21:00,06:00,21:00
14418,57623-290761,US,CO,35.659043,-105.96288,780 St Michaels Dr,santa fe,NM,875057703,Mountain Standard Time,GMT-07:00,America/Denver,05:30,20:00,05:30,20:00,05:30,20:00,05:30,20:00,05:30,20:00,06:00,20:00,06:00,20:00
14419,16609-166204,US,CO,35.678937,-105.953495,907 St. Francis Dr.,santa fe,NM,875053060,Mountain Standard Time,GMT-07:00,America/Denver,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00
14420,5733-7667,US,CO,35.687299,-105.939841,"106 W, San Francisco|Santa Fe Plaza",santa fe,NM,875012112,Mountain Standard Time,GMT-07:00,America/Denver,05:30,20:00,05:30,20:00,05:30,20:00,05:30,20:00,05:30,21:00,05:30,21:00,05:30,20:00
14421,5608-1547,US,CO,35.692001,-105.950962,191 Paseo de Peralta|Suite EOA,santa fe,NM,875011857,Mountain Standard Time,GMT-07:00,America/Denver,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00
14422,13259-104958,US,CO,35.642688,-106.012602,3899 Cerrillos Road,santa fe,NM,875074151,Mountain Standard Time,GMT-07:00,America/Denver,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:00,22:00,05:00,22:00,05:00,22:00
14423,73284-21765,US,LS,35.640901,-106.013204,3542 Zafarano Drive,santa fe,NM,875072606,Mountain Standard Time,GMT-07:00,America/Denver,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00
14424,19056-197845,US,LS,35.639926,-106.013249,3550 Zafarano Dr,santa fe,NM,87507,Mountain Standard Time,GMT-07:00,America/Denver,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
14425,73551-60979,US,LS,35.693847,-105.95117,600 N Guadalupe,santa fe,NM,875011456,Mountain Standard Time,GMT-07:00,America/Denver,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00
14426,19174-173264,US,CO,35.619391,-106.028683,4960 Promenade Boulevard,santa fe,NM,875075501,Mountain Standard Time,GMT-07:00,America/Denver,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:00,22:00,05:00,22:00,05:00,21:00
14427,22069-102522,US,LS,35.878452,-106.293687,751 Trinity Dr|100,los alamos,NM,875443202,Mountain Standard Time,GMT-07:00,America/Denver,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
14428,6442-45899,US,CO,35.881251,-106.300968,1801 Central Avenue|1|Central Avenue Plaza,los alamos,NM,875443021,Mountain Standard Time,GMT-07:00,America/Denver,05:30,18:00,05:30,18:00,05:30,18:00,05:30,18:00,05:30,18:00,07:30,19:00,07:30,19:00
14429,50626-274664,US,CO,36.013676,-106.06512,1404 N. Riverside Drive|D,espanola,NM,875322107,Mountain Standard Time,GMT-07:00,America/Denver,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,06:00,21:00,06:00,21:00
14430,17413-168644,US,CO,34.018589,-118.281769,3584 S. Figueroa St.|#1B,los angeles,CA,900074313,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,06:30,21:00,06:30,21:00
